"ID","pubYear","best_common","common_length","common_first_3","common_last_3","common_last_2","best_full","full_first","full_mid","full_last","full_word_count","stat","bio","optics_count"
26822210,2016,"asdb",4,"asd","sdb","db","annotated scaffold database","annotated","scaffold","database",3,"opaque","opaque",1006
29321052,2018,"asgdb",5,"asg","gdb","db","anopheles sinensis genome database","anopheles","sinensis genome","database",4,"opaque","opaque",1006
33588073,2021,"asdb",4,"asd","sdb","db","anopheles sinensis omics database","anopheles","sinensis omics","database",4,"opaque","opaque",1006
23317704,2012,"amdd",4,"amd","mdd","dd","anti microbial drug database","anti","microbial drug","database",4,"opaque","opaque",1006
34497528,2021,"acnpd",5,"acn","npd","pd","anti-cancer natural product database","anti-cancer","natural product","database",5,"opaque","opaque",1006
31123286,2019,"aicd",4,"aic","icd","cd","anti-inflammatory compounds database","anti-inflammatory","compounds","database",4,"opaque","opaque",1006
31410491,2020,"abcd",4,"abc","bcd","cd","antibodies chemically defined","antibodies","chemically","defined",3,"opaque","opaque",1006
26074488,2015,"cancerhsp",9,"can","hsp","sp","anticancer herbs database of systems pharmacology","anticancer","herbs database of systems","pharmacology",6,"translucent","translucent",17
24307774,2013,"diacan",6,"dia","can","an","antidiabetic and anticancer medicinal plants database","antidiabetic","and anticancer medicinal plants","database",6,"opaque","opaque",1006
24475134,2014,"asdcd",5,"asd","dcd","cd","antifungal synergistic drug combination database","antifungal","synergistic drug combination","database",5,"opaque","opaque",1006
25048123,2014,"agabdb",6,"aga","bdb","db","antigen-antibody interaction database","antigen-antibody","interaction","database",4,"opaque","opaque",1006
32584882,2020,"acd",3,"acd","acd","cd","antimicrobial chemotherapeutics database","antimicrobial","chemotherapeutics","database",3,"opaque","opaque",1006
34529321,2022,"apd",3,"apd","apd","pd","antimicrobial peptide database","antimicrobial","peptide","database",3,"opaque","opaque",1006
28784999,2017,"aod",3,"aod","aod","od","antioxidant database","antioxidant","","database",2,"opaque","opaque",1006
22084200,2012,"ah-db",5,"ah-","-db","db","apo-holo database","apo-holo","","database",3,"opaque","opaque",1006
34556150,2021,"aprgpd",6,"apr","gpd","pd","apricot genomic and phenotypic database","apricot","genomic and phenotypic","database",5,"opaque","opaque",1006
24272250,2014,"rarge ii",8,"rar","ii","ii","arabidopsis genome encyclopedia ii","arabidopsis","genome encyclopedia","ii",4,"opaque","opaque",1006
22345505,2012,"anap",4,"ana","nap","ap","arabidopsis network analysis pipeline","arabidopsis","network analysis","pipeline",4,"opaque","opaque",1006
31843802,2020,"asrd",4,"asr","srd","rd","arabidopsis small rna database","arabidopsis","small rna","database",4,"opaque","opaque",1006
33219693,2021,"atmad",5,"atm","mad","ad","arabidopsis thaliana multi-omics association database","arabidopsis","thaliana multi-omics association","database",6,"opaque","opaque",1006
22397531,2012,"atpan",5,"atp","pan","an","arabidopsis thaliana promoter analysis net","arabidopsis","thaliana promoter analysis","net",5,"opaque","opaque",1006
27899679,2017,"atpid",5,"atp","pid","id","arabidopsis thaliana protein interactome database","arabidopsis","thaliana protein interactome","database",5,"opaque","opaque",1006
23904744,2013,"asrdb",5,"asr","rdb","db","archaeal stress response database","archaeal","stress response","database",4,"opaque","opaque",1006
31347432,2020,"andb",4,"and","ndb","db","areca nut database","areca","nut","database",3,"opaque","opaque",1006
34738791,2021,"arocagedb",9,"aro","edb","db","aromatic cage database","aromatic","cage","database",3,"opaque","translucent",94
34154536,2021,"teaas",5,"tea","aas","as","as database for tea plants","as","database for tea","plants",5,"opaque","translucent",94
22080559,2012,"aspgd",5,"asp","pgd","gd","aspergillus genome database","aspergillus","genome","database",3,"opaque","translucent",94
28779078,2017,"a2mdb",5,"a2m","mdb","db","aspergillus secondary metabolites database","aspergillus","secondary metabolites","database",4,"opaque","opaque",1006
22057158,2012,"aura",4,"aur","ura","ra","atlas of utr regulatory activity","atlas","of utr regulatory","activity",5,"opaque","opaque",1006
29077946,2018,"ared-plus",9,"are","lus","us","au-rich element database","au-rich","element","database",4,"opaque","opaque",1006
32291734,2020,"aelp",4,"ael","elp","lp","auditory english lexicon project","auditory","english lexicon","project",4,"opaque","opaque",1006
23774715,2014,"abide",5,"abi","ide","de","autism brain imaging data exchange","autism","brain imaging data","exchange",5,"opaque","opaque",1006
32449934,2020,"asap",4,"asa","sap","ap","automated single-cell analysis portal","automated","single-cell analysis","portal",5,"opaque","opaque",1006
32681639,2020,"atdb",4,"atd","tdb","db","autophagy and tumor database","autophagy","and tumor","database",4,"opaque","opaque",1006
25635527,2015,"arn",3,"arn","arn","rn","autophagy regulatory network","autophagy","regulatory","network",3,"opaque","opaque",1006
30669929,2019,"autophagysmdb",13,"aut","mdb","db","autophagy small molecule database","autophagy","small molecule","database",4,"translucent","transparent",12
30239683,2018,"atd",3,"atd","atd","td","autophagy to disease","autophagy","to","disease",3,"opaque","opaque",1006
33176685,2020,"avimm",5,"avi","imm","mm","avian immunome db","avian","immunome","db",3,"opaque","opaque",1006
24214959,2014,"bacdive",7,"bac","ive","ve","bacterial diversity metadatabase","bacterial","diversity","metadatabase",3,"opaque","translucent",94
33780471,2021,"mcpdb",5,"mcp","pdb","db","bacterial microcompartment database","bacterial","microcompartment","database",3,"opaque","opaque",1006
22080550,2012,"bykdb",5,"byk","kdb","db","bacterial protein tyrosine kinase database","bacterial","protein tyrosine kinase","database",5,"opaque","opaque",1006
24399916,2013,"bex-db",6,"bex","-db","db","barley gene expression database","barley","gene expression","database",4,"opaque","opaque",1006
26110276,2015,"bgd",3,"bgd","bgd","gd","bat genome database","bat","genome","database",3,"opaque","opaque",1006
34264745,2021,"barra:curda",11,"bar","rda","da","benchmarking of artificial intelligence research","benchmarking","of artificial intelligence","research",5,"opaque","opaque",1006
32786900,2020,"bce",3,"bce","bce","ce","bioactive conformational ensemble server and database","bioactive","conformational ensemble server and","database",6,"opaque","opaque",1006
25477388,2015,"bard",4,"bar","ard","rd","bioassay research database","bioassay","research","database",3,"opaque","opaque",1006
25336620,2015,"barcdb",6,"bar","cdb","db","biobanking analysis resource catalogue","biobanking","analysis resource","catalogue",4,"opaque","opaque",1006
22250003,2012,"bfgr",4,"bfg","fgr","gr","biofuel feedstock genomics resource","biofuel","feedstock genomics","resource",4,"opaque","opaque",1006
21904428,2011,"biogen base",11,"bio","ase","se","biogen base - cassava","biogen","base -","cassava",3,"translucent","opaque",6
30476227,2019,"biogrid",7,"bio","rid","id","biological general repository for interaction datasets","biological","general repository for interaction","datasets",6,"opaque","opaque",1006
32026396,2020,"bsm-arc",7,"bsm","arc","rc","biological structure model archive","biological","structure model","archive",4,"opaque","opaque",1006
34081565,2021,"bee",3,"bee","bee","ee","biomedical entity explorer","biomedical","entity","explorer",3,"opaque","opaque",1006
21233089,2011,"bind",4,"bin","ind","nd","biomolecular interaction network database","biomolecular","interaction network","database",4,"opaque","opaque",1006
26503249,2016,"bdb",3,"bdb","bdb","db","biopanning data bank","biopanning","data","bank",3,"opaque","opaque",1006
30407529,2019,"biosamples",10,"bio","les","es","biosample database","biosample","","database",2,"translucent","transparent",12
26820405,2016,"bard",4,"bar","ard","rd","biosurveillance analytics resource directory","biosurveillance","analytics resource","directory",4,"opaque","opaque",1006
33010170,2021,"big-fam",7,"big","fam","am","biosynthetic gene cluster families","biosynthetic","gene cluster","families",4,"opaque","opaque",1006
23390356,2013,"birs",4,"bir","irs","rs","bioterrorism information retrieval system","bioterrorism","information retrieval","system",4,"opaque","opaque",1006
32369809,2020,"bcd",3,"bcd","bcd","cd","bird chromosome database","bird","chromosome","database",3,"opaque","opaque",1006
34736471,2021,"bddb",4,"bdd","ddb","db","birth defect multi-omics database","birth","defect multi-omics","database",5,"opaque","opaque",1006
21335611,2011,"b2g-far",7,"b2g","far","ar","blast2go functional annotation repository","blast2go","functional annotation","repository",4,"opaque","opaque",1006
22084196,2012,"bgmut",5,"bgm","mut","ut","blood group antigen gene mutation database","blood","group antigen gene mutation","database",6,"opaque","opaque",1006
34897852,2022,"bgvar",5,"bgv","var","ar","blood group associated genomic variant resource","blood","group associated genomic variant","resource",6,"opaque","opaque",1006
24250117,2013,"bbgd454",7,"bbg","454","54","blueberry genomic database","blueberry","genomic","database",3,"opaque","opaque",1006
28365726,2017,"bmw",3,"bmw","bmw","mw","boechera microsatellite website","boechera","microsatellite","website",3,"opaque","opaque",1006
31647100,2020,"bgd",3,"bgd","bgd","gd","bovine genome database","bovine","genome","database",3,"opaque","opaque",1006
32540200,2020,"bgvd",4,"bgv","gvd","vd","bovine genome variation database","bovine","genome variation","database",4,"opaque","translucent",94
24077841,2013,"bbgre",5,"bbg","gre","re","brain and body genetic resource exchange","brain","and body genetic resource","exchange",6,"opaque","opaque",1006
34144671,2021,"bcgene",6,"bcg","ene","ne","brain cancer gene database","brain","cancer gene","database",4,"opaque","translucent",94
29985970,2019,"brainexp",8,"bra","exp","xp","brain expression database","brain","expression","database",3,"translucent","transparent",12
26794641,2017,"brains",6,"bra","ins","ns","brain images of normal subjects","brain","images of normal","subjects",5,"translucent","transparent",12
25784642,2015,"brain tumor",11,"bra","mor","or","brain tumor database","brain","tumor","database",3,"translucent","transparent",12
26589635,2015,"brad",4,"bra","rad","ad","brassica database","brassica","","database",2,"opaque","opaque",1006
23203881,2013,"brenda",6,"bre","nda","da","braunschweig enzyme database","braunschweig","enzyme","database",3,"opaque","opaque",1006
24570022,2014,"bgbx",4,"bgb","gbx","bx","brazilian genetic database of chromosome x","brazilian","genetic database of chromosome","x",6,"opaque","opaque",1006
25332396,2015,"bcctbbp",7,"bcc","bbp","bp","breast cancer campaign tissue bank","breast","cancer campaign tissue","bank",5,"opaque","opaque",1006
33599248,2021,"bc-genexminer",13,"bc-","ner","er","breast cancer gene-expression miner","breast","cancer gene-expression","miner",5,"opaque","translucent",94
28327601,2017,"bcip",4,"bci","cip","ip","breast cancer integrative platform","breast","cancer integrative","platform",4,"opaque","opaque",1006
29136180,2018,"bcntb",5,"bcn","ntb","tb","breast cancer now tissue bank bioinformatics","breast","cancer now tissue bank","bioinformatics",6,"opaque","opaque",1006
33882119,2021,"bc-tfdb",7,"bc-","fdb","db","breast cancer transcription factors database","breast","cancer transcription factors","database",5,"opaque","translucent",94
28821760,2017,"boss",4,"bos","oss","ss","breast oncogenic specific sirnas","breast","oncogenic specific","sirnas",4,"opaque","opaque",1006
23336431,2013,"buffsatdb",9,"buf","tdb","db","buffalo microsatellite database","buffalo","microsatellite","database",3,"opaque","translucent",94
27701074,2017,"cendr",5,"cen","ndr","dr","c. elegans natural diversity resource","c.","elegans natural diversity","resource",5,"opaque","opaque",1006
26519468,2016,"ccmgdb",6,"ccm","gdb","db","cancer cell metabolism gene database","cancer","cell metabolism gene","database",5,"opaque","opaque",1006
23893318,2013,"cdsa",4,"cds","dsa","sa","cancer digital slide archive","cancer","digital slide","archive",4,"opaque","opaque",1006
23486013,2013,"cancerdr",8,"can","rdr","dr","cancer drug resistance database","cancer","drug resistance","database",4,"translucent","transparent",12
30759968,2019,"cdrgator",8,"cdr","tor","or","cancer drug resistance navigator","cancer","drug resistance","navigator",4,"opaque","opaque",1006
26160459,2015,"cgmd",4,"cgm","gmd","md","cancer gene marker database","cancer","gene marker","database",4,"opaque","opaque",1006
23630576,2013,"cms",3,"cms","cms","ms","cancer methylome system","cancer","methylome","system",3,"opaque","opaque",1006
25398898,2015,"cmpd",4,"cmp","mpd","pd","cancer mutant proteome database","cancer","mutant proteome","database",4,"opaque","opaque",1006
28473704,2017,"cancerpdf",9,"can","pdf","df","cancer peptidome database of biofluids","cancer","peptidome database of","biofluids",5,"translucent","translucent",17
27192119,2016,"dbcpg",5,"dbc","cpg","pg","cancer predisposition gene database","cancer","predisposition gene","database",4,"opaque","opaque",1006
29860480,2018,"dbcrsr",6,"dbc","rsr","sr","cancer radiosensitivity regulation factors database","cancer","radiosensitivity regulation factors","database",5,"opaque","opaque",1006
34927675,2022,"crpmkb",6,"crp","mkb","kb","cancer risk prediction model","cancer","risk prediction","model",4,"opaque","opaque",1006
26602695,2016,"crn",3,"crn","crn","rn","cancer rna-seq nexus","cancer","rna-seq","nexus",4,"opaque","opaque",1006
28191780,2017,"csctt",5,"csc","ctt","tt","cancer stem cells therapeutic target database","cancer","stem cells therapeutic target","database",6,"opaque","opaque",1006
29036403,2018,"cscd",4,"csc","scd","cd","cancer-specific circrna database","cancer-specific","circrna","database",4,"opaque","opaque",1006
23486613,2013,"cgob",4,"cgo","gob","ob","candida gene order browser","candida","gene order","browser",4,"opaque","opaque",1006
22064862,2012,"cgd",3,"cgd","cgd","gd","candida genome database","candida","genome","database",3,"opaque","opaque",1006
25190456,2015,"ccgd",4,"ccg","cgd","gd","candidate cancer gene database","candidate","cancer gene","database",4,"opaque","opaque",1006
28651548,2017,"chd",3,"chd","chd","hd","canis mtdna hv1 database","canis","mtdna hv1","database",4,"opaque","opaque",1006
25753703,2015,"csdb",4,"csd","sdb","db","carbohydrate structure databases","carbohydrate","structure","databases",3,"opaque","opaque",1006
28011601,2017,"csdb_gt",7,"csd","_gt","gt","carbohydrate structure glycosyltransferase database","carbohydrate","structure glycosyltransferase","database",4,"opaque","opaque",1006
23514094,2013,"cazy",4,"caz","azy","zy","carbohydrate-active enzymes database","carbohydrate-active","enzymes","database",4,"opaque","opaque",1006
24344970,2013,"cvdhd",5,"cvd","dhd","hd","cardiovascular disease herbal database","cardiovascular","disease herbal","database",4,"opaque","opaque",1006
34964846,2021,"cogvic",6,"cog","vic","ic","catalog of germline variants in cancer","catalog","of germline variants in","cancer",6,"opaque","opaque",1006
28147217,2016,"ccg",3,"ccg","ccg","cg","catalogue of cancer genes","catalogue","of cancer","genes",4,"opaque","opaque",1006
22621612,2012,"c-gate",6,"c-g","ate","te","catalogue of genes affected by transposable elements","catalogue","of genes affected by transposable","elements",7,"opaque","opaque",1006
23405067,2013,"chpc2012",8,"chp","012","12","catalogue of human protein complexes","catalogue","of human protein","complexes",5,"opaque","opaque",1006
25355519,2015,"cosmic",6,"cos","mic","ic","catalogue of somatic mutations in cancer","catalogue","of somatic mutations in","cancer",6,"opaque","opaque",1006
24319146,2014,"csa",3,"csa","csa","sa","catalytic site atlas","catalytic","site","atlas",3,"opaque","opaque",1006
30967897,2019,"crofgd",6,"cro","fgd","gd","catharanthus roseus functional genomics database","catharanthus","roseus functional genomics","database",5,"opaque","opaque",1006
23537399,2013,"cdp",3,"cdp","cdp","dp","cell death proteomics database","cell","death proteomics","database",4,"opaque","opaque",1006
23203874,2013,"cil-ccdb",8,"cil","cdb","db","cell image library-cell centered database","cell","image library-cell centered","database",6,"opaque","opaque",1006
25592564,2015,"cellx",5,"cel","llx","lx","cell index database","cell","index","database",3,"opaque","opaque",1006
33211888,2021,"csea-db",7,"cse","-db","db","cell type-specific enrichment analysis database","cell","type-specific enrichment analysis","database",6,"opaque","opaque",1006
25861964,2015,"cpd",3,"cpd","cpd","pd","cellular phenotype database","cellular","phenotype","database",3,"opaque","opaque",1006
26026167,2015,"rpdb",4,"rpd","pdb","db","cellular reprogramming database","cellular","reprogramming","database",3,"opaque","opaque",1006
24498619,2013,"chbmp",5,"chb","bmp","mp","centers for disease control and prevention (cdc) hemophilia b mutation project mutation list","centers","for disease control and prevention (cdc) hemophilia b mutation project mutation","list",13,"opaque","opaque",1006
22080563,2012,"cadre",5,"cad","dre","re","central aspergillus data repository","central","aspergillus data","repository",4,"opaque","opaque",1006
25392417,2015,"cecafdb",7,"cec","fdb","db","central carbon metabolic flux database","central","carbon metabolic flux","database",5,"opaque","opaque",1006
25038066,2014,"csf-pr",6,"csf","-pr","pr","cerebrospinal fluid proteome resource","cerebrospinal","fluid proteome","resource",4,"opaque","opaque",1006
26660198,2016,"cb",2,"cb","cb","cb","change blindess database","change","blindess","database",3,"opaque","opaque",1006
26862144,2016,"cragdb",6,"cra","gdb","db","chaperone repertoire in archaeal genomes","chaperone","repertoire in archaeal","genomes",5,"opaque","opaque",1006
33109630,2020,"ckttd",5,"ckt","ttd","td","checkpoint therapeutic target database","checkpoint","therapeutic target","database",4,"opaque","opaque",1006
27899660,2017,"cebs",4,"ceb","ebs","bs","chemical effects in biological systems database","chemical","effects in biological systems","database",6,"opaque","opaque",1006
28962356,2015,"cpcat",5,"cpc","cat","at","chemical/product categories database","chemical/product","categories","database",4,"opaque","opaque",1006
33068420,2021,"chewie-ns",9,"che","-ns","ns","chewie nomenclature server","chewie","nomenclature","server",3,"opaque","opaque",1006
25518738,2014,"cgwr",4,"cgw","gwr","wr","chickpea genomic web resource","chickpea","genomic web","resource",4,"opaque","opaque",1006
24952649,2014,"cicarmisatdb",12,"cic","tdb","db","chickpea microsatellite database","chickpea","microsatellite","database",3,"opaque","opaque",1006
26322998,2015,"ctdb",4,"ctd","tdb","db","chickpea transcriptome database","chickpea","transcriptome","database",3,"opaque","opaque",1006
28383342,2017,"chear",5,"che","ear","ar","children's health exposure analysis resource","children's","health exposure analysis","resource",6,"opaque","opaque",1006
32952115,2020,"cngbdb",6,"cng","bdb","db","china national genebank database","china","national genebank","database",4,"opaque","opaque",1006
32705130,2020,"cnsa",4,"cns","nsa","sa","china national genebank sequence archive","china","national genebank sequence","archive",5,"opaque","opaque",1006
30117424,2018,"czrc",4,"czr","zrc","rc","china zebrafish resource center","china","zebrafish resource","center",4,"opaque","opaque",1006
27173523,2016,"crrd",4,"crr","rrd","rd","chinchilla research resource database","chinchilla","research resource","database",4,"opaque","opaque",1006
30208340,2018,"ccgd-escc",9,"ccg","scc","cc","chinese cancer genomic database-esophageal squamous cell carcinoma","chinese","cancer genomic database-esophageal squamous cell","carcinoma",8,"opaque","opaque",1006
25970778,2015,"cemtdd",6,"cem","tdd","dd","chinese ethnic minority traditional drug database","chinese","ethnic minority traditional drug","database",6,"opaque","opaque",1006
33662628,2021,"cgga",4,"cgg","gga","ga","chinese glioma genome atlas","chinese","glioma genome","atlas",4,"opaque","opaque",1006
29934697,2018,"cld",3,"cld","cld","ld","chinese lexical database","chinese","lexical","database",3,"opaque","opaque",1006
35134148,2020,"cata",4,"cat","ata","ta","chromatin accessibility database","chromatin","accessibility","database",3,"opaque","opaque",1006
26868054,2016,"ccsi",4,"ccs","csi","si","chromatin-chromatin spatial interaction","chromatin-chromatin","spatial","interaction",4,"opaque","opaque",1006
27472917,2016,"cicertransdb",12,"cic","sdb","db","cicer transcription factor database","cicer","transcription factor","database",4,"opaque","opaque",1006
30668638,2019,"cmep",4,"cme","mep","ep","circulating microrna expression profiling","circulating","microrna expression","profiling",4,"opaque","opaque",1006
30462313,2019,"cistrome db",11,"cis","db","db","cistrome data browser","cistrome","data","browser",3,"opaque","transparent",17
32025315,2020,"citgvd",6,"cit","gvd","vd","citrus genomic variation database","citrus","genomic variation","database",4,"opaque","opaque",1006
21718534,2011,"cangs",5,"can","ngs","gs","cleaning and analyzing next generation sequences database","cleaning","and analyzing next generation sequences","database",7,"opaque","opaque",1006
24678985,2014,"clearedleavesdb",15,"cle","sdb","db","cleared leaf image database","cleared","leaf image","database",4,"translucent","transparent",12
23696674,2013,"cgd",3,"cgd","cgd","gd","clinical genomic database","clinical","genomic","database",3,"opaque","opaque",1006
33306800,2020,"ceg",3,"ceg","ceg","eg","clusters of essential genes","clusters","of essential","genes",4,"opaque","opaque",1006
33167031,2021,"cog",3,"cog","cog","og","clusters of orthologous genes","clusters","of orthologous","genes",4,"opaque","opaque",1006
25428365,2015,"cogs",4,"cog","ogs","gs","clusters of orthologous groups of proteins","clusters","of orthologous groups of","proteins",6,"opaque","opaque",1006
26051695,2015,"comirnet",8,"com","net","et","co-clustered mirna regulatory networks","co-clustered","mirna regulatory","networks",5,"opaque","opaque",1006
31029701,2019,"cocoputs",8,"coc","uts","ts","codon and codon-pair usage tables","codon","and codon-pair usage","tables",6,"opaque","opaque",1006
26019122,2016,"dx",2,"dx","dx","dx","coins data exchange","coins","data","exchange",3,"opaque","opaque",1006
22275896,2011,"coins",5,"coi","ins","ns","collaborative informatics and neuroimaging suite","collaborative","informatics and neuroimaging","suite",5,"opaque","opaque",1006
32990755,2021,"csvs",4,"csv","svs","vs","collaborative spanish variability server","collaborative","spanish variability","server",4,"opaque","opaque",1006
24265220,2014,"camp",4,"cam","amp","mp","collection of antimicrobial peptide","collection","of antimicrobial","peptide",4,"opaque","opaque",1006
33423696,2021,"coconut",7,"coc","nut","ut","collection of open natural products","collection","of open natural","products",5,"opaque","opaque",1006
26048563,2015,"cyclops",7,"cyc","ops","ps","collection of yeast cells localization patterns","collection","of yeast cells localization","patterns",6,"opaque","opaque",1006
30357356,2019,"cmaup",5,"cma","aup","up","collective molecular activities of useful plants","collective","molecular activities of useful","plants",6,"opaque","opaque",1006
31725864,2017,"craft",5,"cra","aft","ft","colorado richly annotated full-text","colorado","richly annotated","full-text",5,"opaque","opaque",1006
30329086,2019,"cagm",4,"cag","agm","gm","comparative analysis of germline microsatellites","comparative","analysis of germline","microsatellites",5,"opaque","opaque",1006
23193288,2013,"cfgp",4,"cfg","fgp","gp","comparative fungal genomics platform","comparative","fungal genomics","platform",4,"opaque","opaque",1006
23093600,2013,"ctd",3,"ctd","ctd","td","comparative toxicogenomics database","comparative","toxicogenomics","database",3,"opaque","opaque",1006
21269480,2011,"cpass",5,"cpa","ass","ss","comparison of protein active site structures","comparison","of protein active site","structures",6,"opaque","opaque",1006
29020642,2017,"cbit",4,"cbi","bit","it","compendium for biomaterial transcriptomics","compendium","for biomaterial","transcriptomics",4,"opaque","opaque",1006
24214993,2014,"cplm",4,"cpl","plm","lm","compendium of protein lysine modifications","compendium","of protein lysine","modifications",5,"opaque","opaque",1006
23661693,2013,"cmap",4,"cma","map","ap","complement map database","complement","map","database",3,"opaque","opaque",1006
25333826,2015,"colmar",6,"col","mar","ar","complex mixture analysis by nmr","complex","mixture analysis by","nmr",5,"opaque","opaque",1006
26040787,2015,"carmo",5,"car","rmo","mo","comprehensive annotation of rice multi-omics data","comprehensive","annotation of rice multi-omics","data",7,"opaque","opaque",1006
31665441,2020,"card",4,"car","ard","rd","comprehensive antibiotic resistance database","comprehensive","antibiotic resistance","database",4,"opaque","opaque",1006
22120664,2011,"cpgr",4,"cpg","pgr","gr","comprehensive phytopathogen genomics resource","comprehensive","phytopathogen genomics","resource",4,"opaque","opaque",1006
30357367,2019,"corum",5,"cor","rum","um","comprehensive resource of mammalian protein complexes","comprehensive","resource of mammalian protein","complexes",6,"opaque","opaque",1006
26450948,2015,"crcda",5,"crc","cda","da","comprehensive resources for cancer ngs data analysis","comprehensive","resources for cancer ngs data","analysis",7,"opaque","opaque",1006
28704505,2017,"csmirtar",8,"csm","tar","ar","condition-specific mirna targets","condition-specific","mirna","targets",4,"opaque","translucent",94
23846747,2013,"codnas",6,"cod","nas","as","conformational diversity of native state","conformational","diversity of native","state",5,"opaque","opaque",1006
29126148,2018,"ccds",4,"ccd","cds","ds","consensus coding sequence","consensus","coding","sequence",3,"opaque","opaque",1006
23197659,2013,"cdd",3,"cdd","cdd","dd","conserved domain database","conserved","domain","database",3,"opaque","opaque",1006
26527719,2016,"cega",4,"ceg","ega","ga","conserved elements from genomic alignments","conserved","elements from genomic","alignments",5,"opaque","opaque",1006
23228284,2012,"cbs",3,"cbs","cbs","bs","conserved regulatory binding sites","conserved","regulatory binding","sites",4,"opaque","opaque",1006
31269035,2019,"coolr",5,"coo","olr","lr","cooperative open online landslide repository","cooperative","open online landslide","repository",5,"opaque","opaque",1006
27242036,2016,"cooptfd",7,"coo","tfd","fd","cooperative transcription factors database","cooperative","transcription factors","database",4,"opaque","opaque",1006
22826268,2012,"cnvd",4,"cnv","nvd","vd","copy number variation in disease database","copy","number variation in disease","database",6,"opaque","opaque",1006
32257241,2020,"cgdb",4,"cgd","gdb","db","coriander genomics database","coriander","genomics","database",3,"opaque","opaque",1006
33095860,2021,"cncdatabase",11,"cnc","ase","se","cornell non-coding cancer driver database","cornell","non-coding cancer driver","database",6,"opaque","opaque",1006
