"ID","pubYear","best_common","best_full","stat","bio","common_length","common_first_3","common_last_3","common_last_2","full_first","full_mid","full_last","full_word_count"
30239683,2018,"atd","autophagy to disease","opaque","opaque",3,"atd","atd","td","autophagy","to","disease",3
33176685,2020,"avimm","avian immunome db","opaque","opaque",5,"avi","imm","mm","avian","immunome","db",3
24214959,2014,"bacdive","bacterial diversity metadatabase","opaque","translucent",7,"bac","ive","ve","bacterial","diversity","metadatabase",3
33780471,2021,"mcpdb","bacterial microcompartment database","opaque","opaque",5,"mcp","pdb","db","bacterial","microcompartment","database",3
22080550,2012,"bykdb","bacterial protein tyrosine kinase database","opaque","opaque",5,"byk","kdb","db","bacterial","protein tyrosine kinase","database",5
24399916,2013,"bex-db","barley gene expression database","opaque","opaque",6,"bex","-db","db","barley","gene expression","database",4
26110276,2015,"bgd","bat genome database","opaque","opaque",3,"bgd","bgd","gd","bat","genome","database",3
34264745,2021,"barra:curda","benchmarking of artificial intelligence research","opaque","opaque",11,"bar","rda","da","benchmarking","of artificial intelligence","research",5
32786900,2020,"bce","bioactive conformational ensemble server and database","opaque","opaque",3,"bce","bce","ce","bioactive","conformational ensemble server and","database",6
25477388,2015,"bard","bioassay research database","opaque","opaque",4,"bar","ard","rd","bioassay","research","database",3
25336620,2015,"barcdb","biobanking analysis resource catalogue","opaque","opaque",6,"bar","cdb","db","biobanking","analysis resource","catalogue",4
22250003,2012,"bfgr","biofuel feedstock genomics resource","opaque","opaque",4,"bfg","fgr","gr","biofuel","feedstock genomics","resource",4
21904428,2011,"biogen base","biogen base - cassava","translucent","opaque",11,"bio","ase","se","biogen","base -","cassava",3
30476227,2019,"biogrid","biological general repository for interaction datasets","opaque","opaque",7,"bio","rid","id","biological","general repository for interaction","datasets",6
32026396,2020,"bsm-arc","biological structure model archive","opaque","opaque",7,"bsm","arc","rc","biological","structure model","archive",4
34081565,2021,"bee","biomedical entity explorer","opaque","opaque",3,"bee","bee","ee","biomedical","entity","explorer",3
21233089,2011,"bind","biomolecular interaction network database","opaque","opaque",4,"bin","ind","nd","biomolecular","interaction network","database",4
26503249,2016,"bdb","biopanning data bank","opaque","opaque",3,"bdb","bdb","db","biopanning","data","bank",3
30407529,2019,"biosamples","biosample database","translucent","transparent",10,"bio","les","es","biosample","","database",2
26820405,2016,"bard","biosurveillance analytics resource directory","opaque","opaque",4,"bar","ard","rd","biosurveillance","analytics resource","directory",4
33010170,2021,"big-fam","biosynthetic gene cluster families","opaque","opaque",7,"big","fam","am","biosynthetic","gene cluster","families",4
23390356,2013,"birs","bioterrorism information retrieval system","opaque","opaque",4,"bir","irs","rs","bioterrorism","information retrieval","system",4
32369809,2020,"bcd","bird chromosome database","opaque","opaque",3,"bcd","bcd","cd","bird","chromosome","database",3
34736471,2021,"bddb","birth defect multi-omics database","opaque","opaque",4,"bdd","ddb","db","birth","defect multi-omics","database",5
21335611,2011,"b2g-far","blast2go functional annotation repository","opaque","opaque",7,"b2g","far","ar","blast2go","functional annotation","repository",4
22084196,2012,"bgmut","blood group antigen gene mutation database","opaque","opaque",5,"bgm","mut","ut","blood","group antigen gene mutation","database",6
34897852,2022,"bgvar","blood group associated genomic variant resource","opaque","opaque",5,"bgv","var","ar","blood","group associated genomic variant","resource",6
24250117,2013,"bbgd454","blueberry genomic database","opaque","opaque",7,"bbg","454","54","blueberry","genomic","database",3
28365726,2017,"bmw","boechera microsatellite website","opaque","opaque",3,"bmw","bmw","mw","boechera","microsatellite","website",3
31647100,2020,"bgd","bovine genome database","opaque","opaque",3,"bgd","bgd","gd","bovine","genome","database",3
32540200,2020,"bgvd","bovine genome variation database","opaque","translucent",4,"bgv","gvd","vd","bovine","genome variation","database",4
24077841,2013,"bbgre","brain and body genetic resource exchange","opaque","opaque",5,"bbg","gre","re","brain","and body genetic resource","exchange",6
34144671,2021,"bcgene","brain cancer gene database","opaque","translucent",6,"bcg","ene","ne","brain","cancer gene","database",4
29985970,2019,"brainexp","brain expression database","translucent","transparent",8,"bra","exp","xp","brain","expression","database",3
26794641,2017,"brains","brain images of normal subjects","translucent","transparent",6,"bra","ins","ns","brain","images of normal","subjects",5
25784642,2015,"brain tumor","brain tumor database","translucent","transparent",11,"bra","mor","or","brain","tumor","database",3
26589635,2015,"brad","brassica database","opaque","opaque",4,"bra","rad","ad","brassica","","database",2
23203881,2013,"brenda","braunschweig enzyme database","opaque","opaque",6,"bre","nda","da","braunschweig","enzyme","database",3
24570022,2014,"bgbx","brazilian genetic database of chromosome x","opaque","opaque",4,"bgb","gbx","bx","brazilian","genetic database of chromosome","x",6
25332396,2015,"bcctbbp","breast cancer campaign tissue bank","opaque","opaque",7,"bcc","bbp","bp","breast","cancer campaign tissue","bank",5
33599248,2021,"bc-genexminer","breast cancer gene-expression miner","opaque","translucent",13,"bc-","ner","er","breast","cancer gene-expression","miner",5
28327601,2017,"bcip","breast cancer integrative platform","opaque","opaque",4,"bci","cip","ip","breast","cancer integrative","platform",4
29136180,2018,"bcntb","breast cancer now tissue bank bioinformatics","opaque","opaque",5,"bcn","ntb","tb","breast","cancer now tissue bank","bioinformatics",6
33882119,2021,"bc-tfdb","breast cancer transcription factors database","opaque","translucent",7,"bc-","fdb","db","breast","cancer transcription factors","database",5
28821760,2017,"boss","breast oncogenic specific sirnas","opaque","opaque",4,"bos","oss","ss","breast","oncogenic specific","sirnas",4
23336431,2013,"buffsatdb","buffalo microsatellite database","opaque","translucent",9,"buf","tdb","db","buffalo","microsatellite","database",3
27701074,2017,"cendr","c. elegans natural diversity resource","opaque","opaque",5,"cen","ndr","dr","c.","elegans natural diversity","resource",5
26519468,2016,"ccmgdb","cancer cell metabolism gene database","opaque","opaque",6,"ccm","gdb","db","cancer","cell metabolism gene","database",5
23893318,2013,"cdsa","cancer digital slide archive","opaque","opaque",4,"cds","dsa","sa","cancer","digital slide","archive",4
23486013,2013,"cancerdr","cancer drug resistance database","translucent","transparent",8,"can","rdr","dr","cancer","drug resistance","database",4
30759968,2019,"cdrgator","cancer drug resistance navigator","opaque","opaque",8,"cdr","tor","or","cancer","drug resistance","navigator",4
26160459,2015,"cgmd","cancer gene marker database","opaque","opaque",4,"cgm","gmd","md","cancer","gene marker","database",4
23630576,2013,"cms","cancer methylome system","opaque","opaque",3,"cms","cms","ms","cancer","methylome","system",3
25398898,2015,"cmpd","cancer mutant proteome database","opaque","opaque",4,"cmp","mpd","pd","cancer","mutant proteome","database",4
28473704,2017,"cancerpdf","cancer peptidome database of biofluids","translucent","translucent",9,"can","pdf","df","cancer","peptidome database of","biofluids",5
27192119,2016,"dbcpg","cancer predisposition gene database","opaque","opaque",5,"dbc","cpg","pg","cancer","predisposition gene","database",4
29860480,2018,"dbcrsr","cancer radiosensitivity regulation factors database","opaque","opaque",6,"dbc","rsr","sr","cancer","radiosensitivity regulation factors","database",5
34927675,2022,"crpmkb","cancer risk prediction model","opaque","opaque",6,"crp","mkb","kb","cancer","risk prediction","model",4
26602695,2016,"crn","cancer rna-seq nexus","opaque","opaque",3,"crn","crn","rn","cancer","rna-seq","nexus",4
28191780,2017,"csctt","cancer stem cells therapeutic target database","opaque","opaque",5,"csc","ctt","tt","cancer","stem cells therapeutic target","database",6
29036403,2018,"cscd","cancer-specific circrna database","opaque","opaque",4,"csc","scd","cd","cancer-specific","circrna","database",4
23486613,2013,"cgob","candida gene order browser","opaque","opaque",4,"cgo","gob","ob","candida","gene order","browser",4
22064862,2012,"cgd","candida genome database","opaque","opaque",3,"cgd","cgd","gd","candida","genome","database",3
25190456,2015,"ccgd","candidate cancer gene database","opaque","opaque",4,"ccg","cgd","gd","candidate","cancer gene","database",4
28651548,2017,"chd","canis mtdna hv1 database","opaque","opaque",3,"chd","chd","hd","canis","mtdna hv1","database",4
25753703,2015,"csdb","carbohydrate structure databases","opaque","opaque",4,"csd","sdb","db","carbohydrate","structure","databases",3
28011601,2017,"csdb_gt","carbohydrate structure glycosyltransferase database","opaque","opaque",7,"csd","_gt","gt","carbohydrate","structure glycosyltransferase","database",4
23514094,2013,"cazy","carbohydrate-active enzymes database","opaque","opaque",4,"caz","azy","zy","carbohydrate-active","enzymes","database",4
24344970,2013,"cvdhd","cardiovascular disease herbal database","opaque","opaque",5,"cvd","dhd","hd","cardiovascular","disease herbal","database",4
34964846,2021,"cogvic","catalog of germline variants in cancer","opaque","opaque",6,"cog","vic","ic","catalog","of germline variants in","cancer",6
28147217,2016,"ccg","catalogue of cancer genes","opaque","opaque",3,"ccg","ccg","cg","catalogue","of cancer","genes",4
22621612,2012,"c-gate","catalogue of genes affected by transposable elements","opaque","opaque",6,"c-g","ate","te","catalogue","of genes affected by transposable","elements",7
23405067,2013,"chpc2012","catalogue of human protein complexes","opaque","opaque",8,"chp","012","12","catalogue","of human protein","complexes",5
25355519,2015,"cosmic","catalogue of somatic mutations in cancer","opaque","opaque",6,"cos","mic","ic","catalogue","of somatic mutations in","cancer",6
24319146,2014,"csa","catalytic site atlas","opaque","opaque",3,"csa","csa","sa","catalytic","site","atlas",3
30967897,2019,"crofgd","catharanthus roseus functional genomics database","opaque","opaque",6,"cro","fgd","gd","catharanthus","roseus functional genomics","database",5
23537399,2013,"cdp","cell death proteomics database","opaque","opaque",3,"cdp","cdp","dp","cell","death proteomics","database",4
23203874,2013,"cil-ccdb","cell image library-cell centered database","opaque","opaque",8,"cil","cdb","db","cell","image library-cell centered","database",6
25592564,2015,"cellx","cell index database","opaque","opaque",5,"cel","llx","lx","cell","index","database",3
33211888,2021,"csea-db","cell type-specific enrichment analysis database","opaque","opaque",7,"cse","-db","db","cell","type-specific enrichment analysis","database",6
25861964,2015,"cpd","cellular phenotype database","opaque","opaque",3,"cpd","cpd","pd","cellular","phenotype","database",3
26026167,2015,"rpdb","cellular reprogramming database","opaque","opaque",4,"rpd","pdb","db","cellular","reprogramming","database",3
24498619,2013,"chbmp","centers for disease control and prevention (cdc) hemophilia b mutation project mutation list","opaque","opaque",5,"chb","bmp","mp","centers","for disease control and prevention (cdc) hemophilia b mutation project mutation","list",13
22080563,2012,"cadre","central aspergillus data repository","opaque","opaque",5,"cad","dre","re","central","aspergillus data","repository",4
25392417,2015,"cecafdb","central carbon metabolic flux database","opaque","opaque",7,"cec","fdb","db","central","carbon metabolic flux","database",5
25038066,2014,"csf-pr","cerebrospinal fluid proteome resource","opaque","opaque",6,"csf","-pr","pr","cerebrospinal","fluid proteome","resource",4
26660198,2016,"cb","change blindess database","opaque","opaque",2,"cb","cb","cb","change","blindess","database",3
26862144,2016,"cragdb","chaperone repertoire in archaeal genomes","opaque","opaque",6,"cra","gdb","db","chaperone","repertoire in archaeal","genomes",5
33109630,2020,"ckttd","checkpoint therapeutic target database","opaque","opaque",5,"ckt","ttd","td","checkpoint","therapeutic target","database",4
27899660,2017,"cebs","chemical effects in biological systems database","opaque","opaque",4,"ceb","ebs","bs","chemical","effects in biological systems","database",6
28962356,2015,"cpcat","chemical/product categories database","opaque","opaque",5,"cpc","cat","at","chemical/product","categories","database",4
33068420,2021,"chewie-ns","chewie nomenclature server","opaque","opaque",9,"che","-ns","ns","chewie","nomenclature","server",3
25518738,2014,"cgwr","chickpea genomic web resource","opaque","opaque",4,"cgw","gwr","wr","chickpea","genomic web","resource",4
24952649,2014,"cicarmisatdb","chickpea microsatellite database","opaque","opaque",12,"cic","tdb","db","chickpea","microsatellite","database",3
26322998,2015,"ctdb","chickpea transcriptome database","opaque","opaque",4,"ctd","tdb","db","chickpea","transcriptome","database",3
28383342,2017,"chear","children's health exposure analysis resource","opaque","opaque",5,"che","ear","ar","children's","health exposure analysis","resource",6
32952115,2020,"cngbdb","china national genebank database","opaque","opaque",6,"cng","bdb","db","china","national genebank","database",4
32705130,2020,"cnsa","china national genebank sequence archive","opaque","opaque",4,"cns","nsa","sa","china","national genebank sequence","archive",5
30117424,2018,"czrc","china zebrafish resource center","opaque","opaque",4,"czr","zrc","rc","china","zebrafish resource","center",4
27173523,2016,"crrd","chinchilla research resource database","opaque","opaque",4,"crr","rrd","rd","chinchilla","research resource","database",4
30208340,2018,"ccgd-escc","chinese cancer genomic database-esophageal squamous cell carcinoma","opaque","opaque",9,"ccg","scc","cc","chinese","cancer genomic database-esophageal squamous cell","carcinoma",8
25970778,2015,"cemtdd","chinese ethnic minority traditional drug database","opaque","opaque",6,"cem","tdd","dd","chinese","ethnic minority traditional drug","database",6
33662628,2021,"cgga","chinese glioma genome atlas","opaque","opaque",4,"cgg","gga","ga","chinese","glioma genome","atlas",4
29934697,2018,"cld","chinese lexical database","opaque","opaque",3,"cld","cld","ld","chinese","lexical","database",3
35134148,2020,"cata","chromatin accessibility database","opaque","opaque",4,"cat","ata","ta","chromatin","accessibility","database",3
26868054,2016,"ccsi","chromatin-chromatin spatial interaction","opaque","opaque",4,"ccs","csi","si","chromatin-chromatin","spatial","interaction",4
27472917,2016,"cicertransdb","cicer transcription factor database","opaque","opaque",12,"cic","sdb","db","cicer","transcription factor","database",4
30668638,2019,"cmep","circulating microrna expression profiling","opaque","opaque",4,"cme","mep","ep","circulating","microrna expression","profiling",4
30462313,2019,"cistrome db","cistrome data browser","opaque","transparent",11,"cis","db","db","cistrome","data","browser",3
32025315,2020,"citgvd","citrus genomic variation database","opaque","opaque",6,"cit","gvd","vd","citrus","genomic variation","database",4
21718534,2011,"cangs","cleaning and analyzing next generation sequences database","opaque","opaque",5,"can","ngs","gs","cleaning","and analyzing next generation sequences","database",7
24678985,2014,"clearedleavesdb","cleared leaf image database","translucent","transparent",15,"cle","sdb","db","cleared","leaf image","database",4
23696674,2013,"cgd","clinical genomic database","opaque","opaque",3,"cgd","cgd","gd","clinical","genomic","database",3
33306800,2020,"ceg","clusters of essential genes","opaque","opaque",3,"ceg","ceg","eg","clusters","of essential","genes",4
33167031,2021,"cog","clusters of orthologous genes","opaque","opaque",3,"cog","cog","og","clusters","of orthologous","genes",4
25428365,2015,"cogs","clusters of orthologous groups of proteins","opaque","opaque",4,"cog","ogs","gs","clusters","of orthologous groups of","proteins",6
26051695,2015,"comirnet","co-clustered mirna regulatory networks","opaque","opaque",8,"com","net","et","co-clustered","mirna regulatory","networks",5
31029701,2019,"cocoputs","codon and codon-pair usage tables","opaque","opaque",8,"coc","uts","ts","codon","and codon-pair usage","tables",6
26019122,2016,"dx","coins data exchange","opaque","opaque",2,"dx","dx","dx","coins","data","exchange",3
22275896,2011,"coins","collaborative informatics and neuroimaging suite","opaque","opaque",5,"coi","ins","ns","collaborative","informatics and neuroimaging","suite",5
32990755,2021,"csvs","collaborative spanish variability server","opaque","opaque",4,"csv","svs","vs","collaborative","spanish variability","server",4
24265220,2014,"camp","collection of antimicrobial peptide","opaque","opaque",4,"cam","amp","mp","collection","of antimicrobial","peptide",4
33423696,2021,"coconut","collection of open natural products","opaque","opaque",7,"coc","nut","ut","collection","of open natural","products",5
26048563,2015,"cyclops","collection of yeast cells localization patterns","opaque","opaque",7,"cyc","ops","ps","collection","of yeast cells localization","patterns",6
30357356,2019,"cmaup","collective molecular activities of useful plants","opaque","opaque",5,"cma","aup","up","collective","molecular activities of useful","plants",6
31725864,2017,"craft","colorado richly annotated full-text","opaque","opaque",5,"cra","aft","ft","colorado","richly annotated","full-text",5
30329086,2019,"cagm","comparative analysis of germline microsatellites","opaque","opaque",4,"cag","agm","gm","comparative","analysis of germline","microsatellites",5
23193288,2013,"cfgp","comparative fungal genomics platform","opaque","opaque",4,"cfg","fgp","gp","comparative","fungal genomics","platform",4
23093600,2013,"ctd","comparative toxicogenomics database","opaque","opaque",3,"ctd","ctd","td","comparative","toxicogenomics","database",3
21269480,2011,"cpass","comparison of protein active site structures","opaque","opaque",5,"cpa","ass","ss","comparison","of protein active site","structures",6
29020642,2017,"cbit","compendium for biomaterial transcriptomics","opaque","opaque",4,"cbi","bit","it","compendium","for biomaterial","transcriptomics",4
24214993,2014,"cplm","compendium of protein lysine modifications","opaque","opaque",4,"cpl","plm","lm","compendium","of protein lysine","modifications",5
23661693,2013,"cmap","complement map database","opaque","opaque",4,"cma","map","ap","complement","map","database",3
25333826,2015,"colmar","complex mixture analysis by nmr","opaque","opaque",6,"col","mar","ar","complex","mixture analysis by","nmr",5
26040787,2015,"carmo","comprehensive annotation of rice multi-omics data","opaque","opaque",5,"car","rmo","mo","comprehensive","annotation of rice multi-omics","data",7
31665441,2020,"card","comprehensive antibiotic resistance database","opaque","opaque",4,"car","ard","rd","comprehensive","antibiotic resistance","database",4
22120664,2011,"cpgr","comprehensive phytopathogen genomics resource","opaque","opaque",4,"cpg","pgr","gr","comprehensive","phytopathogen genomics","resource",4
30357367,2019,"corum","comprehensive resource of mammalian protein complexes","opaque","opaque",5,"cor","rum","um","comprehensive","resource of mammalian protein","complexes",6
26450948,2015,"crcda","comprehensive resources for cancer ngs data analysis","opaque","opaque",5,"crc","cda","da","comprehensive","resources for cancer ngs data","analysis",7
28704505,2017,"csmirtar","condition-specific mirna targets","opaque","translucent",8,"csm","tar","ar","condition-specific","mirna","targets",4
23846747,2013,"codnas","conformational diversity of native state","opaque","opaque",6,"cod","nas","as","conformational","diversity of native","state",5
29126148,2018,"ccds","consensus coding sequence","opaque","opaque",4,"ccd","cds","ds","consensus","coding","sequence",3
23197659,2013,"cdd","conserved domain database","opaque","opaque",3,"cdd","cdd","dd","conserved","domain","database",3
26527719,2016,"cega","conserved elements from genomic alignments","opaque","opaque",4,"ceg","ega","ga","conserved","elements from genomic","alignments",5
23228284,2012,"cbs","conserved regulatory binding sites","opaque","opaque",3,"cbs","cbs","bs","conserved","regulatory binding","sites",4
31269035,2019,"coolr","cooperative open online landslide repository","opaque","opaque",5,"coo","olr","lr","cooperative","open online landslide","repository",5
27242036,2016,"cooptfd","cooperative transcription factors database","opaque","opaque",7,"coo","tfd","fd","cooperative","transcription factors","database",4
22826268,2012,"cnvd","copy number variation in disease database","opaque","opaque",4,"cnv","nvd","vd","copy","number variation in disease","database",6
32257241,2020,"cgdb","coriander genomics database","opaque","opaque",4,"cgd","gdb","db","coriander","genomics","database",3
33095860,2021,"cncdatabase","cornell non-coding cancer driver database","opaque","opaque",11,"cnc","ase","se","cornell","non-coding cancer driver","database",6
33009914,2021,"covdb","coronavirus database","opaque","opaque",5,"cov","vdb","db","coronavirus","","database",2
26868053,2016,"cld","corvids literature database","opaque","opaque",3,"cld","cld","ld","corvids","literature","database",3
28595571,2017,"cottonfgd","cotton functional genomic database","translucent","transparent",9,"cot","fgd","gd","cotton","functional genomic","database",4
34992626,2021,"cottongvd","cotton genomic variation database","translucent","transparent",9,"cot","gvd","vd","cotton","genomic variation","database",4
33068433,2021,"covalentindb","covalent inhibitor database","opaque","translucent",12,"cov","ndb","db","covalent","inhibitor","database",3
30717315,2019,"cbd","crc biomarker database","opaque","opaque",3,"cbd","cbd","bd","crc","biomarker","database",3
26556651,2016,"croppal","crop proteins with annotated locations","opaque","translucent",7,"cro","pal","al","crop","proteins with annotated","locations",5
22916227,2012,"clearpond","cross-linguistic easy-access resource for phonological and orthographic neighborhood densities","opaque","opaque",9,"cle","ond","nd","cross-linguistic","easy-access resource for phonological and orthographic neighborhood","densities",11
22070882,2012,"cod","crystallography open database","opaque","opaque",3,"cod","cod","od","crystallography","open","database",3
26989154,2016,"cscdb","cscs database","opaque","opaque",5,"csc","cdb","db","cscs","","database",2
25885062,2015,"cmmdb","cucumis melo microsatellites database","opaque","opaque",5,"cmm","mdb","db","cucumis","melo microsatellites","database",4
30321383,2019,"cugendb","cucurbit genomics database","opaque","translucent",7,"cug","ndb","db","cucurbit","genomics","database",3
31979981,2020,"cpad","curated protein aggregation database","opaque","opaque",4,"cpa","pad","ad","curated","protein aggregation","database",4
27226753,2016,"scratchpads","cyanobacteria culture collection","opaque","opaque",11,"scr","ads","ds","cyanobacteria","culture","collection",3
