"ID","pubYear","best_common","best_full","stat","bio","common_length","common_first_3","common_last_3","common_last_2"
24307774,2013,"diacan","Antidiabetic and Anticancer Medicinal Plants Database","opaque","opaque",6,"dia","can","an"
24475134,2014,"asdcd","Antifungal Synergistic Drug Combination Database","opaque","opaque",5,"asd","dcd","cd"
25048123,2014,"agabdb","Antigen-Antibody Interaction Database","opaque","opaque",6,"aga","bdb","db"
32584882,2020,"acd","Antimicrobial chemotherapeutics database","opaque","opaque",3,"acd","acd","cd"
34529321,2022,"apd","antimicrobial peptide database","opaque","opaque",3,"apd","apd","pd"
28784999,2017,"aod","Antioxidant Database","opaque","opaque",3,"aod","aod","od"
22084200,2012,"ah-db","Apo-Holo DataBase","opaque","opaque",5,"ah-","-db","db"
34556150,2021,"aprgpd","apricot genomic and phenotypic database","opaque","opaque",6,"apr","gpd","pd"
24272250,2014,"rarge ii","Arabidopsis Genome Encyclopedia II","opaque","opaque",8,"rar"," ii","ii"
22345505,2012,"anap","Arabidopsis Network Analysis Pipeline","opaque","opaque",4,"ana","nap","ap"
31843802,2020,"asrd","Arabidopsis Small RNA Database","opaque","opaque",4,"asr","srd","rd"
33219693,2021,"atmad","Arabidopsis thaliana Multi-omics Association Database","opaque","opaque",5,"atm","mad","ad"
22397531,2012,"atpan","Arabidopsis thaliana Promoter Analysis Net","opaque","opaque",5,"atp","pan","an"
27899679,2017,"atpid","Arabidopsis thaliana Protein Interactome Database","opaque","opaque",5,"atp","pid","id"
23904744,2013,"asrdb","Archaeal Stress Response Database","opaque","opaque",5,"asr","rdb","db"
31347432,2020,"andb","Areca nut database","opaque","opaque",4,"and","ndb","db"
34738791,2021,"arocagedb","Aromatic Cage Database","opaque","translucent",9,"aro","edb","db"
34154536,2021,"teaas","AS database for tea plants","opaque","translucent",5,"tea","aas","as"
22080559,2012,"aspgd","Aspergillus Genome Database","opaque","translucent",5,"asp","pgd","gd"
28779078,2017,"a2mdb","Aspergillus Secondary Metabolites Database","opaque","opaque",5,"a2m","mdb","db"
22057158,2012,"aura","Atlas of UTR Regulatory Activity","opaque","opaque",4,"aur","ura","ra"
29077946,2018,"ared-plus","AU-Rich Element Database","opaque","opaque",9,"are","lus","us"
32291734,2020,"aelp","Auditory English Lexicon Project","opaque","opaque",4,"ael","elp","lp"
23774715,2014,"abide","Autism Brain Imaging Data Exchange","opaque","opaque",5,"abi","ide","de"
32449934,2020,"asap","Automated Single-cell Analysis Portal","opaque","opaque",4,"asa","sap","ap"
32681639,2020,"atdb","Autophagy and Tumor Database","opaque","opaque",4,"atd","tdb","db"
25635527,2015,"arn","Autophagy Regulatory Network","opaque","opaque",3,"arn","arn","rn"
30669929,2019,"autophagysmdb","Autophagy Small Molecule Database","translucent","transparent",13,"aut","mdb","db"
30239683,2018,"atd","Autophagy To Disease","opaque","opaque",3,"atd","atd","td"
33176685,2020,"avimm","Avian Immunome DB","opaque","opaque",5,"avi","imm","mm"
24214959,2014,"bacdive","Bacterial Diversity Metadatabase","opaque","translucent",7,"bac","ive","ve"
33780471,2021,"mcpdb","bacterial microcompartment database","opaque","opaque",5,"mcp","pdb","db"
22080550,2012,"bykdb","Bacterial protein tYrosine Kinase database","opaque","opaque",5,"byk","kdb","db"
24399916,2013,"bex-db","Barley Gene Expression Database","opaque","opaque",6,"bex","-db","db"
26110276,2015,"bgd","Bat Genome Database","opaque","opaque",3,"bgd","bgd","gd"
34264745,2021,"barra:curda","Benchmarking of ARtificial intelligence Research","opaque","opaque",11,"bar","rda","da"
32786900,2020,"bce","Bioactive Conformational Ensemble Server and Database","opaque","opaque",3,"bce","bce","ce"
25477388,2015,"bard","BioAssay Research Database","opaque","opaque",4,"bar","ard","rd"
25336620,2015,"barcdb","Biobanking Analysis Resource Catalogue","opaque","opaque",6,"bar","cdb","db"
22250003,2012,"bfgr","Biofuel Feedstock Genomics Resource","opaque","opaque",4,"bfg","fgr","gr"
21904428,2011,"biogen base","BIOGEN BASE - CASSAVA","translucent","opaque",11,"bio","ase","se"
30476227,2019,"biogrid","Biological General Repository for Interaction Datasets","opaque","opaque",7,"bio","rid","id"
32026396,2020,"bsm-arc","Biological Structure Model Archive","opaque","opaque",7,"bsm","arc","rc"
34081565,2021,"bee","Biomedical Entity Explorer","opaque","opaque",3,"bee","bee","ee"
21233089,2011,"bind","Biomolecular Interaction Network Database","opaque","opaque",4,"bin","ind","nd"
26503249,2016,"bdb","Biopanning Data Bank","opaque","opaque",3,"bdb","bdb","db"
30407529,2019,"biosamples","BioSample Database","translucent","transparent",10,"bio","les","es"
26820405,2016,"bard","Biosurveillance Analytics Resource Directory","opaque","opaque",4,"bar","ard","rd"
33010170,2021,"big-fam","biosynthetic gene cluster families","opaque","opaque",7,"big","fam","am"
23390356,2013,"birs","Bioterrorism Information Retrieval System","opaque","opaque",4,"bir","irs","rs"
32369809,2020,"bcd","Bird Chromosome Database","opaque","opaque",3,"bcd","bcd","cd"
34736471,2021,"bddb","birth defect multi-omics database","opaque","opaque",4,"bdd","ddb","db"
21335611,2011,"b2g-far","Blast2GO Functional Annotation Repository","opaque","opaque",7,"b2g","far","ar"
22084196,2012,"bgmut","Blood Group Antigen Gene Mutation Database","opaque","opaque",5,"bgm","mut","ut"
34897852,2022,"bgvar","Blood Group Associated Genomic Variant Resource","opaque","opaque",5,"bgv","var","ar"
24250117,2013,"bbgd454","blueberry genomic database","opaque","opaque",7,"bbg","454","54"
28365726,2017,"bmw","Boechera Microsatellite Website","opaque","opaque",3,"bmw","bmw","mw"
31647100,2020,"bgd","Bovine Genome Database","opaque","opaque",3,"bgd","bgd","gd"
32540200,2020,"bgvd","Bovine Genome Variation Database","opaque","translucent",4,"bgv","gvd","vd"
24077841,2013,"bbgre","Brain and Body Genetic Resource Exchange","opaque","opaque",5,"bbg","gre","re"
34144671,2021,"bcgene","brain cancer gene database","opaque","translucent",6,"bcg","ene","ne"
29985970,2019,"brainexp","Brain EXPression Database","translucent","transparent",8,"bra","exp","xp"
26794641,2017,"brains","Brain Images of Normal Subjects","translucent","transparent",6,"bra","ins","ns"
25784642,2015,"brain tumor","Brain Tumor Database","translucent","transparent",11,"bra","mor","or"
26589635,2015,"brad","Brassica database","opaque","opaque",4,"bra","rad","ad"
23203881,2013,"brenda","BRaunschweig ENzyme DAtabase","opaque","opaque",6,"bre","nda","da"
24570022,2014,"bgbx","Brazilian Genetic Database of Chromosome X","opaque","opaque",4,"bgb","gbx","bx"
25332396,2015,"bcctbbp","Breast Cancer Campaign Tissue Bank","opaque","opaque",7,"bcc","bbp","bp"
33599248,2021,"bc-genexminer","Breast cancer gene-expression miner","opaque","translucent",13,"bc-","ner","er"
28327601,2017,"bcip","Breast Cancer Integrative Platform","opaque","opaque",4,"bci","cip","ip"
29136180,2018,"bcntb","Breast Cancer Now Tissue Bank bioinformatics","opaque","opaque",5,"bcn","ntb","tb"
33882119,2021,"bc-tfdb","Breast Cancer Transcription Factors database","opaque","translucent",7,"bc-","fdb","db"
28821760,2017,"boss","Breast Oncogenic Specific siRNAs","opaque","opaque",4,"bos","oss","ss"
23336431,2013,"buffsatdb","Buffalo MicroSatellite Database","opaque","translucent",9,"buf","tdb","db"
27701074,2017,"cendr","C. elegans Natural Diversity Resource","opaque","opaque",5,"cen","ndr","dr"
26519468,2016,"ccmgdb","Cancer Cell Metabolism Gene DataBase","opaque","opaque",6,"ccm","gdb","db"
23893318,2013,"cdsa","Cancer Digital Slide Archive","opaque","opaque",4,"cds","dsa","sa"
23486013,2013,"cancerdr","cancer drug resistance database","translucent","transparent",8,"can","rdr","dr"
30759968,2019,"cdrgator","Cancer Drug Resistance navigator","opaque","opaque",8,"cdr","tor","or"
26160459,2015,"cgmd","Cancer Gene Marker Database","opaque","opaque",4,"cgm","gmd","md"
23630576,2013,"cms","Cancer methylome system","opaque","opaque",3,"cms","cms","ms"
25398898,2015,"cmpd","cancer mutant proteome database","opaque","opaque",4,"cmp","mpd","pd"
28473704,2017,"cancerpdf","Cancer Peptidome Database of bioFluids","translucent","translucent",9,"can","pdf","df"
27192119,2016,"dbcpg","Cancer Predisposition Gene Database","opaque","opaque",5,"dbc","cpg","pg"
29860480,2018,"dbcrsr","cancer radiosensitivity regulation factors database","opaque","opaque",6,"dbc","rsr","sr"
34927675,2022,"crpmkb","cancer risk prediction model","opaque","opaque",6,"crp","mkb","kb"
26602695,2016,"crn","Cancer RNA-Seq Nexus","opaque","opaque",3,"crn","crn","rn"
28191780,2017,"csctt","Cancer Stem Cells Therapeutic Target Database","opaque","opaque",5,"csc","ctt","tt"
29036403,2018,"cscd","cancer-specific circRNA database","opaque","opaque",4,"csc","scd","cd"
23486613,2013,"cgob","Candida Gene Order Browser","opaque","opaque",4,"cgo","gob","ob"
22064862,2012,"cgd","Candida Genome Database","opaque","opaque",3,"cgd","cgd","gd"
25190456,2015,"ccgd","Candidate Cancer Gene Database","opaque","opaque",4,"ccg","cgd","gd"
28651548,2017,"chd","Canis mtDNA HV1 database","opaque","opaque",3,"chd","chd","hd"
25753703,2015,"csdb","Carbohydrate Structure Databases","opaque","opaque",4,"csd","sdb","db"
28011601,2017,"csdb_gt","Carbohydrate Structure Glycosyltransferase Database","opaque","opaque",7,"csd","_gt","gt"
23514094,2013,"cazy","Carbohydrate-Active Enzymes database","opaque","opaque",4,"caz","azy","zy"
24344970,2013,"cvdhd","cardiovascular disease herbal database","opaque","opaque",5,"cvd","dhd","hd"
34964846,2021,"cogvic","Catalog of Germline Variants in Cancer","opaque","opaque",6,"cog","vic","ic"
28147217,2016,"ccg","Catalogue of Cancer Genes","opaque","opaque",3,"ccg","ccg","cg"
22621612,2012,"c-gate","catalogue of genes affected by transposable elements","opaque","opaque",6,"c-g","ate","te"
23405067,2013,"chpc2012","Catalogue of Human Protein Complexes","opaque","opaque",8,"chp","012","12"
25355519,2015,"cosmic","Catalogue Of Somatic Mutations In Cancer","opaque","opaque",6,"cos","mic","ic"
24319146,2014,"csa","Catalytic Site Atlas","opaque","opaque",3,"csa","csa","sa"
30967897,2019,"crofgd","Catharanthus roseus Functional Genomics Database","opaque","opaque",6,"cro","fgd","gd"
23537399,2013,"cdp","Cell Death Proteomics database","opaque","opaque",3,"cdp","cdp","dp"
23203874,2013,"cil-ccdb","Cell Image Library-Cell Centered Database","opaque","opaque",8,"cil","cdb","db"
25592564,2015,"cellx","Cell Index Database","opaque","opaque",5,"cel","llx","lx"
33211888,2021,"csea-db","Cell type-Specific Enrichment Analysis DataBase","opaque","opaque",7,"cse","-db","db"
25861964,2015,"cpd","Cellular Phenotype Database","opaque","opaque",3,"cpd","cpd","pd"
26026167,2015,"rpdb","cellular reprogramming database","opaque","opaque",4,"rpd","pdb","db"
24498619,2013,"chbmp","Centers for Disease Control and Prevention (CDC) Hemophilia B Mutation Project mutation list","opaque","opaque",5,"chb","bmp","mp"
22080563,2012,"cadre","Central Aspergillus Data REpository","opaque","opaque",5,"cad","dre","re"
25392417,2015,"cecafdb","Central Carbon Metabolic Flux Database","opaque","opaque",7,"cec","fdb","db"
25038066,2014,"csf-pr","Cerebrospinal Fluid Proteome Resource","opaque","opaque",6,"csf","-pr","pr"
26660198,2016,"cb","Change Blindess Database","opaque","opaque",2,"cb","cb","cb"
26862144,2016,"cragdb","Chaperone repertoire in Archaeal genomes","opaque","opaque",6,"cra","gdb","db"
33109630,2020,"ckttd","Checkpoint therapeutic target database","opaque","opaque",5,"ckt","ttd","td"
27899660,2017,"cebs","Chemical Effects in Biological Systems database","opaque","opaque",4,"ceb","ebs","bs"
28962356,2015,"cpcat","Chemical/Product Categories Database","opaque","opaque",5,"cpc","cat","at"
33068420,2021,"chewie-ns","Chewie Nomenclature Server","opaque","opaque",9,"che","-ns","ns"
25518738,2014,"cgwr","Chickpea Genomic Web Resource","opaque","opaque",4,"cgw","gwr","wr"
24952649,2014,"cicarmisatdb","Chickpea Microsatellite Database","opaque","opaque",12,"cic","tdb","db"
26322998,2015,"ctdb","Chickpea Transcriptome Database","opaque","opaque",4,"ctd","tdb","db"
28383342,2017,"chear","Children's Health Exposure Analysis Resource","opaque","opaque",5,"che","ear","ar"
32952115,2020,"cngbdb","China National GeneBank DataBase","opaque","opaque",6,"cng","bdb","db"
32705130,2020,"cnsa","China National GeneBank Sequence Archive","opaque","opaque",4,"cns","nsa","sa"
30117424,2018,"czrc","China Zebrafish Resource Center","opaque","opaque",4,"czr","zrc","rc"
27173523,2016,"crrd","Chinchilla Research Resource Database","opaque","opaque",4,"crr","rrd","rd"
30208340,2018,"ccgd-escc","Chinese Cancer Genomic Database-Esophageal Squamous Cell Carcinoma","opaque","opaque",9,"ccg","scc","cc"
25970778,2015,"cemtdd","Chinese Ethnic Minority Traditional Drug Database","opaque","opaque",6,"cem","tdd","dd"
33662628,2021,"cgga","Chinese Glioma Genome Atlas","opaque","opaque",4,"cgg","gga","ga"
29934697,2018,"cld","Chinese Lexical Database","opaque","opaque",3,"cld","cld","ld"
35134148,2020,"cata","chromatin accessibility database","opaque","opaque",4,"cat","ata","ta"
26868054,2016,"ccsi","chromatin-chromatin spatial interaction","opaque","opaque",4,"ccs","csi","si"
27472917,2016,"cicertransdb","Cicer Transcription Factor Database","opaque","opaque",12,"cic","sdb","db"
30668638,2019,"cmep","Circulating MicroRNA Expression Profiling","opaque","opaque",4,"cme","mep","ep"
30462313,2019,"cistrome db","Cistrome Data Browser","opaque","transparent",11,"cis"," db","db"
32025315,2020,"citgvd","citrus genomic variation database","opaque","opaque",6,"cit","gvd","vd"
21718534,2011,"cangs","Cleaning and Analyzing Next Generation Sequences DataBase","opaque","opaque",5,"can","ngs","gs"
24678985,2014,"clearedleavesdb","Cleared Leaf Image Database","translucent","transparent",15,"cle","sdb","db"
23696674,2013,"cgd","Clinical Genomic Database","opaque","opaque",3,"cgd","cgd","gd"
33306800,2020,"ceg","Clusters of Essential Genes","opaque","opaque",3,"ceg","ceg","eg"
33167031,2021,"cog","Clusters of Orthologous Genes","opaque","opaque",3,"cog","cog","og"
25428365,2015,"cogs","Clusters of Orthologous Groups of proteins","opaque","opaque",4,"cog","ogs","gs"
26051695,2015,"comirnet","Co-clustered miRNA Regulatory Networks","opaque","opaque",8,"com","net","et"
31029701,2019,"cocoputs","Codon and Codon-Pair Usage Tables","opaque","opaque",8,"coc","uts","ts"
26019122,2016,"dx","COINS Data Exchange","opaque","opaque",2,"dx","dx","dx"
22275896,2011,"coins","collaborative informatics and neuroimaging suite","opaque","opaque",5,"coi","ins","ns"
32990755,2021,"csvs","Collaborative Spanish Variability Server","opaque","opaque",4,"csv","svs","vs"
24265220,2014,"camp","Collection of Antimicrobial Peptide","opaque","opaque",4,"cam","amp","mp"
33423696,2021,"coconut","COlleCtion of Open Natural prodUcTs","opaque","opaque",7,"coc","nut","ut"
26048563,2015,"cyclops","Collection of Yeast Cells Localization Patterns","opaque","opaque",7,"cyc","ops","ps"
30357356,2019,"cmaup","Collective Molecular Activities of Useful Plants","opaque","opaque",5,"cma","aup","up"
31725864,2017,"craft","Colorado Richly Annotated Full-Text","opaque","opaque",5,"cra","aft","ft"
30329086,2019,"cagm","Comparative Analysis of Germline Microsatellites","opaque","opaque",4,"cag","agm","gm"
23193288,2013,"cfgp","Comparative Fungal Genomics Platform","opaque","opaque",4,"cfg","fgp","gp"
23093600,2013,"ctd","Comparative Toxicogenomics Database","opaque","opaque",3,"ctd","ctd","td"
21269480,2011,"cpass","Comparison of Protein Active Site Structures","opaque","opaque",5,"cpa","ass","ss"
29020642,2017,"cbit","Compendium for Biomaterial Transcriptomics","opaque","opaque",4,"cbi","bit","it"
24214993,2014,"cplm","Compendium of Protein Lysine Modifications","opaque","opaque",4,"cpl","plm","lm"
23661693,2013,"cmap","Complement Map Database","opaque","opaque",4,"cma","map","ap"
25333826,2015,"colmar","Complex Mixture Analysis by NMR","opaque","opaque",6,"col","mar","ar"
26040787,2015,"carmo","comprehensive annotation of rice multi-omics data","opaque","opaque",5,"car","rmo","mo"
31665441,2020,"card","Comprehensive Antibiotic Resistance Database","opaque","opaque",4,"car","ard","rd"
22120664,2011,"cpgr","Comprehensive Phytopathogen Genomics Resource","opaque","opaque",4,"cpg","pgr","gr"
30357367,2019,"corum","comprehensive resource of mammalian protein complexes","opaque","opaque",5,"cor","rum","um"
26450948,2015,"crcda","Comprehensive resources for cancer NGS data analysis","opaque","opaque",5,"crc","cda","da"
28704505,2017,"csmirtar","Condition-Specific miRNA Targets","opaque","translucent",8,"csm","tar","ar"
23846747,2013,"codnas","Conformational Diversity of Native State","opaque","opaque",6,"cod","nas","as"
29126148,2018,"ccds","Consensus Coding Sequence","opaque","opaque",4,"ccd","cds","ds"
23197659,2013,"cdd","Conserved Domain Database","opaque","opaque",3,"cdd","cdd","dd"
26527719,2016,"cega","Conserved Elements from Genomic Alignments","opaque","opaque",4,"ceg","ega","ga"
23228284,2012,"cbs","Conserved regulatory Binding Sites","opaque","opaque",3,"cbs","cbs","bs"
31269035,2019,"coolr","Cooperative Open Online Landslide Repository","opaque","opaque",5,"coo","olr","lr"
27242036,2016,"cooptfd","Cooperative Transcription Factors Database","opaque","opaque",7,"coo","tfd","fd"
22826268,2012,"cnvd","Copy Number Variation in Disease database","opaque","opaque",4,"cnv","nvd","vd"
32257241,2020,"cgdb","Coriander Genomics Database","opaque","opaque",4,"cgd","gdb","db"
33095860,2021,"cncdatabase","Cornell Non-coding Cancer driver Database","opaque","opaque",11,"cnc","ase","se"
33009914,2021,"covdb","coronavirus database","opaque","opaque",5,"cov","vdb","db"
26868053,2016,"cld","Corvids Literature Database","opaque","opaque",3,"cld","cld","ld"
28595571,2017,"cottonfgd","Cotton Functional Genomic Database","translucent","transparent",9,"cot","fgd","gd"
34992626,2021,"cottongvd","cotton genomic variation database","translucent","transparent",9,"cot","gvd","vd"
33068433,2021,"covalentindb","Covalent Inhibitor Database","opaque","translucent",12,"cov","ndb","db"
30717315,2019,"cbd","CRC biomarker database","opaque","opaque",3,"cbd","cbd","bd"
26556651,2016,"croppal","crop Proteins with Annotated Locations","opaque","translucent",7,"cro","pal","al"
22916227,2012,"clearpond","Cross-Linguistic Easy-Access Resource for Phonological and Orthographic Neighborhood Densities","opaque","opaque",9,"cle","ond","nd"
22070882,2012,"cod","Crystallography Open Database","opaque","opaque",3,"cod","cod","od"
26989154,2016,"cscdb","CSCs database","opaque","opaque",5,"csc","cdb","db"
25885062,2015,"cmmdb","Cucumis melo Microsatellites Database","opaque","opaque",5,"cmm","mdb","db"
30321383,2019,"cugendb","Cucurbit Genomics Database","opaque","translucent",7,"cug","ndb","db"
31979981,2020,"cpad","Curated Protein Aggregation Database","opaque","opaque",4,"cpa","pad","ad"
27226753,2016,"scratchpads","Cyanobacteria culture collection","opaque","opaque",11,"scr","ads","ds"
26305368,2015,"ckb","Cyanobacterial KnowledgeBase","opaque","opaque",3,"ckb","ckb","kb"
26895996,2016,"cfc","Cystic Fibrosis Cloud database","opaque","opaque",3,"cfc","cfc","fc"
28603918,2017,"cftr-france","Cystic Fibrosis Transmembrane Conductance Regulator - France","opaque","opaque",11,"cft","nce","ce"
21738316,2011,"cytred","Cytokine Receptor Database","opaque","opaque",6,"cyt","red","ed"
31813095,2020,"cmvdb","CytoMegaloVirus Infection Database","opaque","opaque",5,"cmv","vdb","db"
23601403,2013,"fcdb","Czech Food Composition Database","opaque","opaque",4,"fcd","cdb","db"
21782820,2011,"dfrmli","Dana-Farber Repository for machine learning in immunology","opaque","opaque",6,"dfr","mli","li"
26909679,2016,"dstrd","Danshen Transcriptional Resource Database","opaque","opaque",5,"dst","trd","rd"
33079988,2021,"dkk","Dark Kinase Knowledgebase","opaque","opaque",3,"dkk","dkk","kk"
25505093,2015,"dixa","data infrastructure for chemical safety assessment","opaque","opaque",4,"dix","ixa","xa"
31504765,2020,"gmrepo","data repository for Gut Microbiota","opaque","opaque",6,"gmr","epo","po"
31409791,2019,"dramp","Data Repository of Antimicrobial Peptides","opaque","opaque",5,"dra","amp","mp"
31560645,2019,"dtm","Data, Trends, and Maps","opaque","opaque",3,"dtm","dtm","tm"
31160594,2019,"pathophenodb","database containing pathogen-to-phenotype associations","opaque","translucent",12,"pat","odb","db"
23516335,2013,"debdom","Database Exploring Banana Diversity of","opaque","opaque",6,"deb","dom","om"
22102573,2012,"dbeth","Database for Bacterial ExoToxins","opaque","opaque",5,"dbe","eth","th"
25754864,2015,"mycoclap","database for characterized lignocellulose-active proteins of fungal origin","opaque","translucent",8,"myc","lap","ap"
26055100,2015,"dbhimo","database for histone-modifying enzymes","opaque","opaque",6,"dbh","imo","mo"
32047897,2021,"trlnc","database for human regulatory information of lncRNAs","opaque","translucent",5,"trl","lnc","nc"
33007622,2020,"dinax","Database for Inherited Ataxia","opaque","opaque",5,"din","nax","ax"
28502574,2017,"diner","Database for Insect Neuropeptide Research","opaque","opaque",5,"din","ner","er"
26946289,2016,"dbpec","Database for Preeclampsia","opaque","opaque",5,"dbp","pec","ec"
26836976,2016,"dbaard","database of Aging and Age Related Disorders","opaque","opaque",6,"dba","ard","rd"
23842462,2013,"dbate","DataBase of Alternative Transcripts Expression","opaque","opaque",5,"dba","ate","te"
26578581,2016,"dbaasp","Database of Antimicrobial Activity and Structure of Peptides","opaque","opaque",6,"dba","asp","sp"
25414358,2015,"db-at","DataBase of Apicomplexa Transcriptomes","opaque","opaque",5,"db-","-at","at"
26503248,2016,"dbmae","database of autosomal monoallelic expression","opaque","opaque",5,"dbm","mae","ae"
24647629,2014,"dbatvir","database of bat-associated viruses","opaque","opaque",7,"dba","vir","ir"
25474259,2014,"dbbp","DataBase of Binding Pairs in protein-nucleic acid interactions","opaque","opaque",4,"dbb","bbp","bp"
23185043,2013,"dobiscuit","Database of BIoSynthesis clusters","opaque","opaque",9,"dob","uit","it"
27650316,2016,"dbsecsys","database of Burkholderia mallei and Burkholderia pseudomallei secretion systems","opaque","opaque",8,"dbs","sys","ys"
30016397,2019,"dbcid","database of Cancer driver InDels","opaque","opaque",5,"dbc","cid","id"
30379998,2020,"dbcpm","database of Cancer Passenger Mutations","opaque","opaque",5,"dbc","cpm","pm"
27789706,2017,"cgdb","database of circadian genes in eukaryotes","opaque","opaque",4,"cgd","gdb","db"
21214365,2011,"dbcat","database of CpG islands and analytical tools","opaque","opaque",5,"dbc","cat","at"
27153700,2016,"dbdsm","database of Deleterious Synonymous Mutation","opaque","opaque",5,"dbd","dsm","sm"
23203878,2013,"d(2)p(2)","Database of Disordered Protein Predictions","opaque","opaque",8,"d(2","(2)","2)"
21938213,2011,"ddtrp","Database of Drug Targets for Resistant Pathogens","opaque","opaque",5,"ddt","trp","rp"
31349169,2019,"deduct","Database of Endocrine Disrupting Chemicals and their Toxicity profiles","opaque","opaque",6,"ded","uct","ct"
26727469,2016,"dembf","Database of Enzymes of Microalgal Biofuel Feedstock","opaque","opaque",5,"dem","mbf","bf"
22467915,2012,"deori","Database of Eukaryotic ORIs","opaque","opaque",5,"deo","ori","ri"
28294141,2017,"gear","database of Genomic Elements Associated with drug Resistance","opaque","opaque",4,"gea","ear","ar"
24174537,2014,"dgv","Database of Genomic Variants","opaque","opaque",3,"dgv","dgv","gv"
24297256,2014,"dbgap","Database of Genotypes and Phenotypes","opaque","opaque",5,"dbg","gap","ap"
30665056,2019,"dbhdpls","database of human disease-related protein-ligand structures","opaque","opaque",7,"dbh","pls","ls"
26566288,2015,"dbgc","Database of Human Gastric Cancer","opaque","opaque",4,"dbg","bgc","gc"
22491796,2012,"msv3d","Database of human MisSense Variants","opaque","opaque",5,"msv","v3d","3d"
22080506,2012,"digit","Database of ImmunoGlobulins with Integrated Tools","opaque","opaque",5,"dig","git","it"
23529715,2013,"dirum","Database of Instruments for Resource Use Measurement","opaque","opaque",5,"dir","rum","um"
24194591,2014,"lenvardb","Database of length variant protein domains","opaque","translucent",8,"len","rdb","db"
34314366,2021,"dbmcs","database of mutation Markers for anti-cancer drug Sensitivity","opaque","opaque",5,"dbm","mcs","cs"
25002814,2014,"dor","Database of Olfactory Receptors","opaque","opaque",3,"dor","dor","or"
